username,user_url,title,review_url,rating,time,summary,useful_count,reply_count
我真爱看电影,https://www.douban.com/people/cinephile007/,2025年度最佳电影！！！！！,https://movie.douban.com/review/17157392/,5,2025-10-19 15:14:53,我看过的第1642部电影，《一战再战》我给9.6分。 55岁的克里斯托弗·诺兰，58岁的丹尼斯·维伦纽瓦，55岁的保罗·托马斯·安德森，分别在2023年，2024年，2025年为全球影迷带来了IMAX1.43：1画幅的《奥本海默》《沙丘2》《一战再战》，三部影史佳作都在IMAX GT 1.43：1银幕影厅...,49,23
克里斯与乔纳森,https://www.douban.com/people/ChrisJonathan/,【译】三重隧道 |《电影手册》第824期,https://movie.douban.com/review/17117203/,5,2025-10-04 19:40:33,这篇影评可能有剧透原文标题：Trois tunnels 原文作者：Charlotte Garson 原文来源：Cahiers du cinéma No.824 *本人评分与译文观点无关 “脆弱性调查”——一项“脆弱性”研究，这正是Lockjaw上尉（西恩·潘饰）同意接受白人至上主义组织Christmas Adventurers的审查项目，后者鉴于他“纯正可靠...,43,2
Isomorphii,https://www.douban.com/people/181515007/,我梦见西恩·潘的勃起,https://movie.douban.com/review/17155291/,5,2025-10-18 02:23:46,这篇影评可能有剧透我对 PTA 最早的印象来自 Fiona Apple 和她所述的 abusive relationship，第二早的印象就是《不羁夜》结尾镜子中那根粗长但绵软的阳具。好多年之后，我又在大银幕看 PTA，这次最深的印象仍然是阳具 —— 一根被剥夺了大特写权利的坚硬阳具。 总之，我脑补了这个场景，几分钟后...,36,9
切切罗,https://www.douban.com/people/29285811/,The Big Dude Lebowski的007之旅,https://movie.douban.com/review/17142629/,5,2025-10-11 01:28:25,这篇影评可能有剧透无疑，观影之后，观众很难不去讨论这部政治意味浓厚的作品中导演 PTA 的立场：这难道又是一部拥护多元diversity与左派价值、同时讽刺右翼white supremacy白人至上主义的电影吗？ 完全不是。 从电影的设定来看，导演并不打算遵守好莱坞的传统，拒绝宏大的「左」和「右」的政治选...,69,10
雕花的茶,https://www.douban.com/people/NGthebest/,浅论《一战再战》中的地形学隐喻,https://movie.douban.com/review/17158469/,5,2025-10-20 01:23:42,在片中架空的移民自治城市里，下层建筑（贫民窟、地道、屋顶）不适应美国体制（公路、大厦），底层群众自发建立起蜂窝式的贫民窟，同时也包含学校，移民工厂，隐喻底层阶层被迫自适应建立的一套的再生产体系，小李子从屋顶摔下隐喻他作为过期的“革命者”与底层群众的脱节。代...,25,3
王小武,https://www.douban.com/people/ura_nium/,复/预习《一战再战》的精神原作《葡萄园》,https://movie.douban.com/review/17155798/,0,2025-10-18 14:25:15,这篇影评可能有剧透难道你看不出有两个截然不同的世界？——一个世界里总是有一台摄影机，另一个世界里则是一支枪，一个是骗人的，一个是真的。如果这是你人生的岔路口，必须在两个世界中选一个，你怎么办？ PTA的全新动作大片《一战再战》上映在即，托马斯·品钦那个光怪陆离的故事在胶片上借尸...,18,1
塔塔君Minkun,https://www.douban.com/people/tatakun/,随笔备忘：《一战再战》与《主谋》联想——敏感时代的迟疑与笨重,https://movie.douban.com/review/17345101/,4,2025-12-17 10:11:35,这篇影评可能有剧透看《一战再战》的时候，想到的是今年看过的凯莉·莱卡特导演的《主谋》，两部片的形式完全不像，只是因为都是在疾走奔流的美国，笨拙的人演出的笨拙的动作电影。 PTA 的电影只看过两部，另一部是他二十多年前的《私恋失调》。我对 PTA 电影的第一感觉是，真的太“动画”了，而...,15,2
one,https://www.douban.com/people/191508641/,One Battle After Another,https://movie.douban.com/review/17096527/,5,2025-09-26 11:02:36,这篇影评可能有剧透回看PTA过去的电影，许多人都批评他的老白男选题。《大师》，《血色将至》，PTA的几部出名作都聚焦于老白男的心理和挣扎，但就像李安的男性角色多是用来讨论父权的伤害，PTA则是用他们来讨论美国精神，自由，宗教，资本主义。 我记得他的上一部《香草披萨》饱受争议，一方面是...,33,8
oath,https://www.douban.com/people/291914157/,优秀的女性角色设计案例,https://movie.douban.com/review/17159176/,5,2025-10-20 16:52:02,这篇影评可能有剧透看完《一战再战》后，我觉得比起评价PTA对美国社会现状的描写和讽刺，更值得探讨的是影片中对女性角色的塑造。 国内多数媒体在概述影片内容的时候，对女主的描述都是以男主妻子的身份一笔带过。但在我看来，缇雅娜饰演的女主帕菲迪亚才是整部电影中人设最丰满的角色 —————...,41,36
Valuska,https://www.douban.com/people/valuska29cc/,极左极右，一战再战,https://movie.douban.com/review/17095041/,4,2025-09-25 11:25:33,这篇影评可能有剧透影片在“轻”的姿态之下安放“重”的议题：极左与极右被并置为两套对称的表演机器，黑色喜剧则成为伦理温度计，笑点既被允许落地，又被其后的余震立刻计入成本，因而“举重若轻”并非减法，而是对复杂现实的再编码。 叙事结构呈纺锤体：开端以极窄的情境—动机为轴，逐步向外张...,27,11
热血废物,https://www.douban.com/people/164727919/,去尼玛的左派右派，去尼玛的男权女权,https://movie.douban.com/review/17158481/,4,2025-10-20 01:32:58,评论区里都在讨论极左极右的讽刺隐喻，但我看到的全片高潮是小女孩举着手枪对准小李子，大喊：“Who are you？”而且她问了不止一次。面对生死关头，面对女儿的枪口，小李子没有对暗号，没有左派右派的站队，他抛开了所有政治色彩，只是一直重复：“亲爱的，我是你爸爸。” 我...,27,20
克里斯与乔纳森,https://www.douban.com/people/ChrisJonathan/,【译】三重隧道 |《电影手册》第824期,https://movie.douban.com/review/17117203/,5,2025-10-04 19:40:33,这篇影评可能有剧透原文标题：Trois tunnels 原文作者：Charlotte Garson 原文来源：Cahiers du cinéma No.824 *本人评分与译文观点无关 “脆弱性调查”——一项“脆弱性”研究，这正是Lockjaw上尉（西恩·潘饰）同意接受白人至上主义组织Christmas Adventurers的审查项目，后者鉴于他“纯正可靠...,43,2
Isomorphii,https://www.douban.com/people/181515007/,我梦见西恩·潘的勃起,https://movie.douban.com/review/17155291/,5,2025-10-18 02:23:46,这篇影评可能有剧透我对 PTA 最早的印象来自 Fiona Apple 和她所述的 abusive relationship，第二早的印象就是《不羁夜》结尾镜子中那根粗长但绵软的阳具。好多年之后，我又在大银幕看 PTA，这次最深的印象仍然是阳具 —— 一根被剥夺了大特写权利的坚硬阳具。 总之，我脑补了这个场景，几分钟后...,36,9
切切罗,https://www.douban.com/people/29285811/,The Big Dude Lebowski的007之旅,https://movie.douban.com/review/17142629/,5,2025-10-11 01:28:25,这篇影评可能有剧透无疑，观影之后，观众很难不去讨论这部政治意味浓厚的作品中导演 PTA 的立场：这难道又是一部拥护多元diversity与左派价值、同时讽刺右翼white supremacy白人至上主义的电影吗？ 完全不是。 从电影的设定来看，导演并不打算遵守好莱坞的传统，拒绝宏大的「左」和「右」的政治选...,69,10
雕花的茶,https://www.douban.com/people/NGthebest/,浅论《一战再战》中的地形学隐喻,https://movie.douban.com/review/17158469/,5,2025-10-20 01:23:42,在片中架空的移民自治城市里，下层建筑（贫民窟、地道、屋顶）不适应美国体制（公路、大厦），底层群众自发建立起蜂窝式的贫民窟，同时也包含学校，移民工厂，隐喻底层阶层被迫自适应建立的一套的再生产体系，小李子从屋顶摔下隐喻他作为过期的“革命者”与底层群众的脱节。代...,25,3
王小武,https://www.douban.com/people/ura_nium/,复/预习《一战再战》的精神原作《葡萄园》,https://movie.douban.com/review/17155798/,0,2025-10-18 14:25:15,这篇影评可能有剧透难道你看不出有两个截然不同的世界？——一个世界里总是有一台摄影机，另一个世界里则是一支枪，一个是骗人的，一个是真的。如果这是你人生的岔路口，必须在两个世界中选一个，你怎么办？ PTA的全新动作大片《一战再战》上映在即，托马斯·品钦那个光怪陆离的故事在胶片上借尸...,18,1
塔塔君Minkun,https://www.douban.com/people/tatakun/,随笔备忘：《一战再战》与《主谋》联想——敏感时代的迟疑与笨重,https://movie.douban.com/review/17345101/,4,2025-12-17 10:11:35,这篇影评可能有剧透看《一战再战》的时候，想到的是今年看过的凯莉·莱卡特导演的《主谋》，两部片的形式完全不像，只是因为都是在疾走奔流的美国，笨拙的人演出的笨拙的动作电影。 PTA 的电影只看过两部，另一部是他二十多年前的《私恋失调》。我对 PTA 电影的第一感觉是，真的太“动画”了，而...,15,2
one,https://www.douban.com/people/191508641/,One Battle After Another,https://movie.douban.com/review/17096527/,5,2025-09-26 11:02:36,这篇影评可能有剧透回看PTA过去的电影，许多人都批评他的老白男选题。《大师》，《血色将至》，PTA的几部出名作都聚焦于老白男的心理和挣扎，但就像李安的男性角色多是用来讨论父权的伤害，PTA则是用他们来讨论美国精神，自由，宗教，资本主义。 我记得他的上一部《香草披萨》饱受争议，一方面是...,33,8
oath,https://www.douban.com/people/291914157/,优秀的女性角色设计案例,https://movie.douban.com/review/17159176/,5,2025-10-20 16:52:02,这篇影评可能有剧透看完《一战再战》后，我觉得比起评价PTA对美国社会现状的描写和讽刺，更值得探讨的是影片中对女性角色的塑造。 国内多数媒体在概述影片内容的时候，对女主的描述都是以男主妻子的身份一笔带过。但在我看来，缇雅娜饰演的女主帕菲迪亚才是整部电影中人设最丰满的角色 —————...,41,36
Valuska,https://www.douban.com/people/valuska29cc/,极左极右，一战再战,https://movie.douban.com/review/17095041/,4,2025-09-25 11:25:33,这篇影评可能有剧透影片在“轻”的姿态之下安放“重”的议题：极左与极右被并置为两套对称的表演机器，黑色喜剧则成为伦理温度计，笑点既被允许落地，又被其后的余震立刻计入成本，因而“举重若轻”并非减法，而是对复杂现实的再编码。 叙事结构呈纺锤体：开端以极窄的情境—动机为轴，逐步向外张...,27,11
热血废物,https://www.douban.com/people/164727919/,去尼玛的左派右派，去尼玛的男权女权,https://movie.douban.com/review/17158481/,4,2025-10-20 01:32:58,评论区里都在讨论极左极右的讽刺隐喻，但我看到的全片高潮是小女孩举着手枪对准小李子，大喊：“Who are you？”而且她问了不止一次。面对生死关头，面对女儿的枪口，小李子没有对暗号，没有左派右派的站队，他抛开了所有政治色彩，只是一直重复：“亲爱的，我是你爸爸。” 我...,27,20
安托万,https://www.douban.com/people/vacual/,面对后现代文本还一本正经聊什么左右？,https://movie.douban.com/review/17155301/,4,2025-10-18 02:32:41,1.放在电影脉络考察的话，无疑是《搜索者》故事当代重述，经由品钦的《葡萄园》进一步转述而来(当然还有《星球大战》)，小说中本身也有着显而易见的迷影元素。 2.然而，《搜索者》的表面冲突早已烟消云散，非裔平权与冲突的潜文本也早已浮上表面，ICE开工开猛了还得担心CPI，各...,10,0
缺席,https://www.douban.com/people/165171342/,⭐️⭐️⭐️⭐️⭐️,https://movie.douban.com/review/17155083/,5,2025-10-17 23:36:36,这篇影评可能有剧透真的会被差评第一说PTA只是想讨好白左拿奖给笑死，人家需要吗？……电影里的左派又哪里伟光正了呢（但还是阴着夸得挺狠的哈哈哈哈），背叛组织的行为不止一次、嘲讽自己人办事死板、主角身弱胆小酗酒没有英雄的样子，PTA选择呈现极左和极右这本来就不是要如何如何严肃的用意了...,23,3
大聪,https://www.douban.com/people/1402913/,如果你对世界失望，你应该看看这真实荒诞的写照,https://movie.douban.com/review/17154671/,5,2025-10-17 20:09:11,YO！如果你问我今年一定要看的好莱坞Absolute Cinema！那绝对有保罗·托马斯·安德森PTA的新作《一战再战》一席之地！ 这也是一部让影迷期待已久的雄心之作。 PTA曾成功将托马斯·品钦的小说《性本恶》搬上银幕。 时隔多年，PTA再次从品钦的小说《葡萄园》获得灵感，打造出了全...,27,4
夜第七章,https://www.douban.com/people/4448539/,有一种神经病叫PTA,https://movie.douban.com/review/17155578/,5,2025-10-18 11:24:37,周五晚上，加班到八点多，走出公司楼，在豆瓣上看到PTA（保罗·托马斯·安德森）的新片《一战再战》上映，想到周六还要加班，觉得不妨先短暂快乐一下！立马买了票。出地铁站后，从盒马买了一大袋酸奶（一袋六小包），权当晚饭。 整个片场，算上我，就四个人，我前面空无一人，...,21,11
婷婷要做甜娘☆,https://www.douban.com/people/Imts/,《一战再战》或价值的犬儒主义      文 / 可颂黑刺梨,https://movie.douban.com/review/17254545/,4,2025-11-30 08:27:59,这篇影评可能有剧透《一战再战》或价值的犬儒主义 文 / 可颂黑刺梨 据说在红色歌剧《江姐》的初版中，被捕的地下党甫志高叛变后劝降江姐时说的台词是： “多少年政治圈里较短长，到头来为谁辛苦为谁忙？武装革命是空流血，共产主义太渺茫。常言道英雄豪杰识时务，何苦再出生入死弄刀枪？倒不如抛...,16,0
秋风物,https://www.douban.com/people/149666845/,高级黑！,https://movie.douban.com/review/17166910/,1,2025-10-26 02:50:27,这篇影评可能有剧透去革命化的“好”电影。 资本主义的大毒草果然具有极强的迷幻性。 从立意来看，首先肯定是无情地讥讽了白人种族主义者：反派上校你说他蠢吧，他能找到自己“失散多年”的女儿；你说他聪明吧，他被人一枪爆头后竟然还傻乎乎地去找那个组织，最后被毒气毒死。 但更重要的是整个片...,7,5
楚翰彻,https://www.douban.com/people/141744320/,"（转《综艺》影评Sep 26, 2025）《一战再战》与《葡萄园》：保罗·托马斯·安德森对托马斯·品钦原著的取舍",https://movie.douban.com/review/17098546/,4,2025-09-27 10:46:48,"这篇影评可能有剧透‘One Battle After Another’ and ‘Vineland’— What Paul Thomas Anderson Used and Cut Out of Thomas Pynchon’s Novel （转《综艺》影评Sep 26, 2025）《一战再战》与《葡萄园》：保罗·托马斯·安德森对托马斯·品钦原著的取舍 Ever since “One Battle After Another...",13,0
Maggie_in_LA,https://www.douban.com/people/125111091/,PTA最好笑、最具有政治讽刺意味的一部,https://movie.douban.com/review/17091369/,4,2025-09-23 15:21:56,#一战再战#  （ One Battle After Another ）（B+） 我原本并非保罗·托马斯·安德森 Paul Thomas Anderson 的粉丝，他的大部分电影我都觉得太长太慢，有过多且不必要的性、暴力、粗口等成人内容。这部还是很长，还是有过多性、暴力、粗口等成人内容，但是，我并不觉得闷，甚至...,18,5
2j的花果山,https://www.douban.com/people/Pengjianjun/,上校的悲剧告诉我们，别做工具，做个人吧,https://movie.douban.com/review/17169742/,5,2025-10-27 18:44:29,上校的一生远看像笑话，近看却是悲剧。 根源之一在于，上校毕生渴望权力、追求权力、跪舔权力，为了成为大佬允诺的人上人，不惜放弃做一个人——当他毅然决然地决定处理掉亲生女儿的时候，权力对人的异化宣告完成。 其二，接近权力不等于拥有权力，它只会让你产生拥有权力的幻...,5,0
傻乐的猫,https://www.douban.com/people/stupidcat7652/,左右大混战,https://movie.douban.com/review/17155468/,3,2025-10-18 10:08:07,这篇影评可能有剧透1. 黛安基顿尸骨未寒，都没来得及重温reds…PTA送上一盘想象中的左右大战。 半世纪前每个白人导演必拍至少一部越战片，否则就是没有心。 当下是，每个美导都要拍部今日美国政治的讽刺喜剧，不拍不是美国人，不拍就是没良心、没出息！ 目测，未来几年此类电影还有更多要出炉。 2...,4,0
